,title,department,location,date_added,link
38,"Firmware Security Engineer, Security Engineering and Architecture",Software and Services,Santa Clara Valley (Cupertino),"May 17, 2021",https://jobs.apple.com/en-us/details/200235536/firmware-security-engineer-security-engineering-and-architecture?team=SFTWR
39,"Endpoint Security Engineer, Security Engineering & Architecture",Software and Services,Santa Clara Valley (Cupertino),"Aug 3, 2021",https://jobs.apple.com/en-us/details/200272077/endpoint-security-engineer-security-engineering-architecture?team=SFTWR
40,"Quality Assurance Engineer, Security Engineering & Architecture",Software and Services,Santa Clara Valley (Cupertino),"Oct 1, 2021",https://jobs.apple.com/en-us/details/200293888/quality-assurance-engineer-security-engineering-architecture?team=SFTWR
41,Software Engineer (Full Stack) - Video Engineering,Software and Services,San Diego,"Jan 26, 2021",https://jobs.apple.com/en-us/details/200219004/software-engineer-full-stack-video-engineering?team=SFTWR
42,AR/VR Applications Engineer,Software and Services,Santa Clara Valley (Cupertino),"Jun 23, 2021",https://jobs.apple.com/en-us/details/200256941/ar-vr-applications-engineer?team=SFTWR
43,Asset Pipeline Engineer,Software and Services,Culver City,"Jul 26, 2021",https://jobs.apple.com/en-us/details/200270202/asset-pipeline-engineer?team=SFTWR
44,Camera Framework Engineer,Software and Services,Santa Clara Valley (Cupertino),"Aug 23, 2021",https://jobs.apple.com/en-us/details/200199996/camera-framework-engineer?team=SFTWR
45,Tools Applications Engineer,Software and Services,Santa Clara Valley (Cupertino),"Oct 14, 2020",https://jobs.apple.com/en-us/details/200084315/tools-applications-engineer?team=SFTWR
46,GPU Driver Engineer,Software and Services,Santa Clara Valley (Cupertino),"May 11, 2021",https://jobs.apple.com/en-us/details/200236664/gpu-driver-engineer?team=SFTWR
47,Asset Pipeline Engineer,Software and Services,Boulder,"Jul 20, 2021",https://jobs.apple.com/en-us/details/200267421/asset-pipeline-engineer?team=SFTWR
48,Applications Performance Engineer,Software and Services,Boulder,"Jan 29, 2021",https://jobs.apple.com/en-us/details/200181372/applications-performance-engineer?team=SFTWR
49,Audio Analytics Engineer,Software and Services,Santa Clara Valley (Cupertino),"Oct 11, 2021",https://jobs.apple.com/en-us/details/200197458/audio-analytics-engineer?team=SFTWR
50,WiFi Software Engineer,Software and Services,San Diego,"Apr 24, 2021",https://jobs.apple.com/en-us/details/200242162/wifi-software-engineer?team=SFTWR
51,Site Reliability Engineer,Software and Services,Austin,"May 21, 2021",https://jobs.apple.com/en-us/details/200250392/site-reliability-engineer?team=SFTWR
52,Software Compatibility Engineer,Software and Services,Santa Clara Valley (Cupertino),"Sep 27, 2021",https://jobs.apple.com/en-us/details/200265048/software-compatibility-engineer?team=SFTWR
53,System Security Engineer,Software and Services,Austin,"Oct 4, 2021",https://jobs.apple.com/en-us/details/200295297/system-security-engineer?team=SFTWR
54,"iOS Engineer, Wallet",Software and Services,San Diego,"May 12, 2021",https://jobs.apple.com/en-us/details/200245283/ios-engineer-wallet?team=SFTWR
